hashtags;timestamp;type;users_in_photo;user_id;likes
[u'climbing', u'running', u'trees'];1447708386;image;0;355460706;0
[u'jarecki', u'climbing', u'wspin'];1447708318;image;0;1970141976;2
[u'climbingtrees', u'aliceinwonderland', u'photoshoot', u'oneyearago', u'treeclimbing', u'tree', u'adventure', u'climbing', u'centralpark', u'mybirthday', u'cheshirecat'];1447708317;image;0;1451960556;1
[u'scenery', u'mountains', u'\uad6c\ub984', u'hiking', u'\ub4f1\uc0b0', u'\uc790\uc5f0', u'autumn', u'\ud558\ub298', u'healing', u'\ud48d\uacbd', u'climbing', u'bluesky', u'cloud', u'clouds', u'mountain', u'natural', u'travel', u'\uc2a4\ub0c5', u'sky', u'daily', u'dsltver', u'live', u'\uce74\uba54\ub77cver', u'\uc77c\uc0c1', u'snap', u'\ud2c0\ub9b0\uad6c\ub984\ucc3e\uae30', u'nature', u'view'];1447708309;image;0;265700473;14
[u'climbing', u'climb', u'nosaftyglasses'];1447708262;image;0;194060912;1
[u'goexplore', u'explorekentucky', u'chacos', u'climbing', u'redrivergorgeous', u'redrivergorge', u'galaxy'];1447708230;image;1;283625063;3
[u'championtree', u'oak', u'pic', u'tree', u'tree_captures', u'ilovetrees', u'chene', u'photo', u'switzerland', u'climbing', u'allalone', u'picoftheday', u'tree_magic'];1447708197;image;0;1915501145;4
[u'doyouboulder', u'climbing_is_my_passion', u'climbing_pictures_of_instagram', u'climbing', u'brimhamrocks', u'doyouclimb'];1447708184;image;0;1482020655;0
[u'mountains', u'turkeyphotographers', u'hiking', u'nature', u'landspace', u'autumn', u'photographers', u'goodnight', u'adventure', u'naturelovers', u'climbing', u'november', u'trip', u'landscape_lovers', u'turkey', u'natural', u'travel', u'skyporn', u'sky', u'running', u'photographers_tr', u'bestoftheday', u'forest', u'trekking', u'holiday', u'picoftheday'];1447708182;image;0;1617536690;26
[u'perseverance', u'mcm', u'bestfriend', u'colorado', u'love', u'sunshine', u'mylove', u'growth', u'climbing', u'cutie', u'fourteener'];1447708176;image;0;21091305;9
[u'brokenmen', u'mountains', u'climbing', u'chachani'];1447708172;image;2;1187573867;3
[u'boulder', u'rockclimbing', u'bouldering', u'nature', u'rockclimb', u'outside', u'outdoors', u'earth', u'climb', u'climbing'];1447708163;image;0;182441737;9
[u'alpinism', u'instanaturelover', u'natura', u'montagna', u'hiking', u'mountains', u'ic_landscapes', u'stone', u'free', u'adventure', u'climbing', u'landscape', u'landscape_lovers', u'grigna', u'clouds', u'wilderness', u'hike', u'instanature', u'sky', u'instagood', u'amazing', u'summit', u'rock', u'peak', u'landscapes', u'photooftheday'];1447708159;image;1;1324321146;12
[u'rockclimbing', u'climbing_pictures_of_instagram', u'touchstoneclimbing', u'neverstopexploring', u'photos', u'explore', u'hostelcalifornia', u'patagonia', u'getoutdoors', u'deadpointmag', u'redrocks', u'repthef', u'thefactorybouldering', u'climbing', u'bouldering', u'sendwithus', u'frictionlabs', u'lasportiva', u'justgoclimb', u'thc_fallrampage', u'northface', u'gearcooper', u'organicclimbing', u'gnarlynutrition', u'madrockclimbing', u'outdoors', u'dpm', u'addidasoutdoor', u'fiveten_factoryoutlet', u'laboulders'];1447708153;image;1;1582753337;7
[u'rockclimbing', u'nature', u'rockclimb', u'outside', u'outdoors', u'earth', u'climb', u'climbing'];1447708137;image;0;182441737;6
[u'exotic', u'reptile', u'hiking', u'chameleon', u'zen', u'reptilesofinstagram', u'domestic', u'baby', u'climbing', u'veil', u'mountain', u'wildlife', u'girlswholikereptiles', u'teddy', u'pet', u'healthy', u'teddybear', u'cherish', u'chameleons_of_ig', u'exercise'];1447708121;image;0;2254353892;6
[u'toughmudder', u'direction', u'spartanrace', u'hiking', u'activefaith', u'spartan', u'spartanup', u'americanninjawarrior', u'entrepreneur', u'anw', u'gymnastics', u'adventure', u'selfhelp', u'teamburk', u'nextlevel', u'ijnip', u'parkour', u'calisthenics', u'sportclimbing', u'yoga', u'onnit', u'californiaadventure', u'pch', u'leadership', u'selfdiscovery', u'personaldevelopment', u'ocr', u'faithandfitness', u'climbing', u'crosstraining'];1447708119;image;5;183489393;3
[u'crazy', u'fissurado', u'goproapp', u'beahero', u'30tododia', u'goprooftheday', u'climbing', u'goprohero', u'peoplewhodofunstuff', u'lifestyle', u'pagevibe', u'goprouniverse', u'natgeocreative', u'gopro', u'goodvibes', u'gopronation', u'clubsocial', u'climb', u'goprolife', u'climber'];1447708093;image;4;195794635;13
[u'boulder', u'rockclimbing', u'bouldering', u'corme', u'coru\xf1a', u'climbing_picture_of_instagram', u'climbing', u'climb', u'acoru\xf1a', u'edelrid'];1447708064;image;0;305609009;3
[u'sweden', u'bouldering', u'girlswhoclimb', u'ume\xe5', u'climbing', u'climb', u'womenwhoclimb'];1447708054;video;0;236580004;3
